machine_quality,air_temperature_K,process_temperature_K,rotational_speed_rpm,torque_Nm,tool_wear_min,operating_hours,vibration_mm_s,pressure_bar,failure_type,machine_failure
H,301.1,311.35,1447.3,50.12,16,118.6,1.863,152.5,No Failure,0
H,297.7,306.65,1556.7,37.95,84,718.8,2.135,148.81,No Failure,0
M,302.38,312.09,1461.6,33.56,138,1992.9,2.701,166.41,No Failure,0
M,299.89,308.44,1361.1,49.05,90,1259.1,2.549,148.05,Heat Dissipation Failure,1
M,298.13,307.34,1526.8,39.43,10,722.7,1.128,143.53,No Failure,0
H,302.25,311.83,1592.9,42.45,127,916.0,3.1,156.83,No Failure,0
L,296.91,308.03,1429.7,49.82,136,704.2,3.236,133.53,No Failure,0
M,298.89,309.35,1438.7,41.39,219,700.6,4.263,153.47,No Failure,0
L,298.86,309.5,1599.3,38.51,231,1261.7,3.485,142.53,No Failure,0
M,304.29,314.26,1554.4,34.65,145,737.4,2.639,135.42,No Failure,0
L,298.63,309.45,1431.2,50.62,22,267.0,2.313,151.58,No Failure,0
M,295.69,304.82,1599.1,36.58,197,324.8,3.139,121.34,No Failure,0
M,298.84,308.1,1495.4,39.49,120,507.7,2.775,156.91,No Failure,0
L,300.91,311.32,1393.0,42.87,149,890.4,3.074,151.05,No Failure,0
M,301.57,311.29,1463.5,42.83,193,342.9,4.046,142.79,No Failure,0
M,304.55,314.54,1519.0,50.14,159,124.6,3.377,161.37,No Failure,0
M,302.81,312.65,1675.9,39.3,107,539.8,2.639,156.11,No Failure,0
L,300.38,311.63,1280.2,53.76,211,991.0,4.051,134.74,Overstrain Failure,1
M,298.22,309.52,1667.3,37.51,89,1330.4,2.181,157.11,No Failure,0
H,303.25,312.62,1437.3,43.71,162,375.3,3.141,156.11,No Failure,0
L,299.26,307.5,1516.5,38.16,144,621.6,2.673,144.69,No Failure,0
L,298.68,307.97,1485.5,60.93,204,288.8,4.253,147.33,Power Failure,1
L,299.17,308.27,1491.2,36.49,213,471.0,3.867,169.69,No Failure,0
M,297.5,308.33,1496.1,37.4,58,147.3,1.874,154.94,No Failure,0
L,299.07,309.99,1433.0,41.15,216,225.8,3.705,135.23,No Failure,0
M,299.53,308.5,1524.8,37.33,147,218.5,3.064,151.54,No Failure,0
M,301.46,310.71,1502.9,43.14,67,1376.9,1.917,131.68,No Failure,0
L,299.22,307.74,1339.8,52.29,153,342.5,3.536,156.21,Heat Dissipation Failure,1
H,297.47,307.6,1618.7,41.47,241,1123.6,3.718,143.28,No Failure,0
M,296.79,306.75,1418.0,41.84,154,228.7,2.669,144.44,No Failure,0
L,300.42,311.21,1563.2,37.71,40,657.0,1.972,138.94,No Failure,0
L,300.15,310.64,1542.8,34.95,123,823.8,2.91,146.07,No Failure,0
L,298.89,309.5,1604.2,40.97,53,941.7,2.419,152.86,No Failure,0
L,299.07,307.52,1427.0,40.08,65,109.1,2.39,142.31,No Failure,0
L,300.78,310.15,1457.7,51.73,175,958.7,3.38,141.0,No Failure,0
H,302.78,313.73,1794.6,30.41,28,1059.3,2.242,150.98,No Failure,0
L,298.44,307.9,1253.9,54.55,216,305.5,4.07,146.33,Overstrain Failure,1
L,300.18,308.55,1430.7,38.53,226,1006.9,3.552,147.12,No Failure,0
M,301.92,312.72,1675.7,41.49,46,1923.0,2.38,141.82,No Failure,0
M,298.45,307.87,1573.1,29.35,78,994.8,2.254,138.63,No Failure,0
H,299.97,311.03,1465.3,45.62,81,59.7,3.132,148.48,No Failure,0
M,299.92,309.91,1546.9,30.4,12,954.9,1.992,158.69,No Failure,0
L,297.38,307.1,1619.0,43.73,19,223.7,1.746,149.15,No Failure,0
L,300.34,311.7,1332.7,42.76,185,827.2,3.139,146.38,No Failure,0
H,300.06,308.76,1637.4,36.74,115,1013.6,2.535,132.86,No Failure,0
M,301.11,312.54,1532.2,19.35,57,822.5,1.063,144.29,Power Failure,1
H,297.63,306.99,1186.1,61.61,129,1199.1,3.333,143.57,No Failure,0
L,300.02,310.18,1486.5,29.46,61,365.7,2.294,151.03,No Failure,0
H,302.76,312.94,1466.7,42.73,147,1037.4,3.132,150.56,No Failure,0
M,304.15,313.73,1494.1,32.7,44,511.6,2.038,177.92,No Failure,0
L,302.56,311.8,1346.5,50.48,46,1019.1,2.501,145.67,No Failure,0
M,297.65,307.28,1446.9,36.21,209,260.3,4.062,159.65,No Failure,0
M,300.9,309.89,1478.2,32.48,69,393.7,2.189,160.0,No Failure,0
L,299.03,311.0,1368.4,45.95,72,1133.5,2.374,157.53,No Failure,0
L,300.57,310.09,1622.9,27.28,188,636.5,3.054,150.08,No Failure,0
H,298.46,309.61,1475.8,35.87,101,352.9,3.008,180.37,No Failure,0
L,296.57,307.6,1204.9,46.9,27,1167.8,1.831,139.82,No Failure,0
L,299.31,309.67,1376.1,55.07,192,395.2,4.377,155.82,No Failure,0
L,301.45,311.31,1644.4,30.38,1,910.5,1.319,158.71,No Failure,0
L,300.58,310.77,1523.8,33.88,111,413.7,2.337,130.27,No Failure,0
H,300.81,311.38,1358.4,43.52,97,1912.6,2.769,133.07,No Failure,0
M,300.43,310.53,1726.8,20.03,165,743.6,2.924,164.82,No Failure,0
L,300.81,309.24,1267.9,53.58,144,657.2,2.814,153.61,Heat Dissipation Failure,1
H,301.06,309.24,1551.1,30.01,145,1318.7,3.059,136.22,No Failure,0
H,299.45,310.96,1533.0,35.63,222,370.9,3.18,164.58,No Failure,0
L,300.17,307.53,1576.3,42.61,148,1102.0,3.676,147.87,No Failure,0
H,303.49,313.68,1547.9,40.51,9,337.1,1.274,161.31,No Failure,0
L,300.28,310.05,1598.5,30.36,14,627.2,1.636,170.36,No Failure,0
H,300.09,310.25,1446.0,57.21,83,444.1,2.937,147.68,No Failure,0
M,300.21,309.07,1601.8,14.25,3,238.0,1.404,126.79,Power Failure,1
M,299.56,309.91,1732.0,28.78,214,240.9,3.085,140.69,No Failure,0
L,299.13,309.34,1275.1,33.63,191,448.6,3.539,125.92,No Failure,0
H,300.42,313.18,1704.5,30.5,178,1057.8,2.869,139.11,No Failure,0
L,298.99,309.12,1326.7,52.2,171,3223.6,3.629,166.57,No Failure,0
L,299.71,311.06,1666.9,23.42,158,244.8,2.267,141.18,No Failure,0
L,298.42,306.92,1505.8,55.57,86,617.1,2.929,136.63,No Failure,0
M,300.22,311.24,1572.7,37.22,2,517.1,1.957,168.57,No Failure,0
L,301.17,311.39,1642.4,26.39,30,1087.6,1.543,147.61,No Failure,0
H,299.58,309.85,1746.0,18.99,116,1573.3,2.368,152.67,Power Failure,1
M,295.98,306.27,1384.0,37.85,63,781.0,2.372,136.82,No Failure,0
L,301.18,312.89,1436.5,32.98,244,259.8,4.002,164.68,No Failure,0
L,300.24,310.5,1505.5,42.36,205,519.9,3.218,150.37,No Failure,0
L,298.01,307.23,1518.3,35.49,167,940.5,2.814,159.34,No Failure,0
M,301.55,310.93,1395.4,49.56,102,539.6,2.69,132.48,No Failure,0
H,297.2,308.02,1622.8,38.58,203,301.9,3.636,165.44,No Failure,0
L,302.09,312.54,1637.5,35.76,101,671.0,2.383,153.75,No Failure,0
H,299.89,308.35,1339.3,49.73,128,561.0,3.104,141.09,Heat Dissipation Failure,1
L,295.46,305.98,1521.6,42.28,178,812.3,3.728,144.79,No Failure,0
H,300.36,309.27,1297.2,47.75,90,1124.8,2.547,143.51,No Failure,0
H,299.19,309.63,1265.2,51.49,127,1517.1,2.769,152.94,No Failure,0
M,298.89,308.08,1443.1,37.06,80,2118.3,2.491,151.3,No Failure,0
M,298.52,308.24,1492.2,40.38,41,2698.8,2.385,168.98,No Failure,0
H,299.75,309.2,1373.7,48.44,199,194.9,3.845,125.49,No Failure,0
L,299.03,310.55,1736.7,15.49,244,870.5,3.41,157.13,Power Failure,1
L,296.29,306.69,1506.8,38.98,115,119.9,2.677,130.44,No Failure,0
L,302.54,313.81,1618.3,37.75,10,785.0,1.511,180.14,No Failure,0
M,299.51,312.41,1519.2,43.74,80,1041.5,2.562,167.84,No Failure,0
M,298.54,308.58,1470.6,31.99,221,208.4,3.017,149.37,No Failure,0
M,297.74,309.25,1493.4,50.95,163,2186.3,3.478,154.95,No Failure,0
H,301.54,310.84,1481.4,32.62,65,220.7,2.05,150.71,No Failure,0
L,297.4,308.66,1573.8,35.41,249,285.6,4.268,142.47,No Failure,0
M,300.27,309.46,1508.8,33.36,32,1051.3,1.361,141.07,No Failure,0
L,298.83,308.81,1520.8,52.3,107,879.1,2.571,149.42,No Failure,0
L,298.95,309.49,1732.7,19.14,124,893.2,2.529,117.88,Power Failure,1
M,297.79,308.49,1294.7,57.87,41,37.7,2.758,165.65,No Failure,0
H,298.76,307.49,1347.4,54.73,46,936.6,2.311,170.4,No Failure,0
M,300.02,309.15,1839.4,34.35,160,841.6,3.018,146.79,No Failure,0
L,300.47,311.08,1304.4,50.27,12,434.0,1.691,167.2,No Failure,0
M,298.43,308.06,1424.8,41.3,100,156.3,2.638,143.76,No Failure,0
L,299.82,308.42,1307.4,56.53,175,659.7,3.391,143.12,No Failure,0
H,301.78,311.71,1319.6,49.51,147,1142.2,2.862,152.33,No Failure,0
M,296.67,306.56,1229.7,61.93,96,1413.3,3.161,156.16,No Failure,0
L,299.99,310.16,1615.2,24.38,249,527.9,3.516,139.75,No Failure,0
L,298.1,308.63,1527.6,41.91,122,1556.8,3.058,153.93,No Failure,0
L,297.89,308.36,1494.5,22.76,114,141.0,2.376,153.31,No Failure,0
H,300.52,309.75,1496.4,34.81,161,1152.6,3.4,122.83,No Failure,0
L,298.91,308.5,1247.7,62.5,75,640.7,2.475,146.57,No Failure,0
M,297.57,308.49,1357.2,44.68,96,134.0,2.893,147.2,No Failure,0
M,302.65,312.11,1510.9,49.85,245,1381.6,4.249,142.56,Overstrain Failure,1
M,301.84,311.45,1390.0,45.14,55,648.9,1.809,142.6,No Failure,0
L,296.14,304.63,1340.7,44.5,166,1210.8,3.134,155.69,Heat Dissipation Failure,1
H,297.05,307.02,1621.0,34.78,196,600.5,3.249,130.74,No Failure,0
L,301.19,311.53,1669.3,32.91,76,587.3,2.336,162.93,No Failure,0
M,299.43,307.45,1565.3,34.51,78,428.0,1.984,148.38,No Failure,0
M,303.0,311.93,1633.8,12.7,79,672.0,1.474,164.82,Power Failure,1
M,301.23,309.81,1481.6,39.18,109,910.4,2.552,142.37,No Failure,0
H,300.6,311.39,1421.9,42.4,151,621.4,3.435,161.59,No Failure,0
L,297.96,306.04,1545.1,33.81,188,227.7,3.393,156.54,No Failure,0
M,300.98,310.9,1574.9,38.69,90,861.2,2.387,128.53,No Failure,0
L,297.45,308.17,1455.7,45.25,123,861.8,3.111,147.75,No Failure,0
L,302.61,312.8,1428.9,48.85,193,218.9,3.415,180.39,No Failure,0
L,300.84,310.4,1549.6,28.02,2,390.6,1.917,160.15,No Failure,0
L,298.35,308.7,1623.4,32.05,48,204.6,2.42,136.74,No Failure,0
L,301.61,312.65,1472.9,47.53,28,684.5,1.889,144.34,No Failure,0
L,304.48,314.38,1287.4,45.89,47,1040.3,2.213,159.93,No Failure,0
L,299.56,307.33,1232.1,53.44,214,953.8,3.973,154.06,Heat Dissipation Failure,1
M,301.1,312.25,1365.9,53.03,58,155.2,2.28,131.81,No Failure,0
M,299.14,309.54,1394.2,64.15,240,656.1,4.754,128.88,Power Failure,1
L,300.17,310.14,1628.4,37.07,218,265.4,3.278,158.53,No Failure,0
L,296.99,305.01,1442.4,55.79,93,194.5,2.73,146.61,No Failure,0
L,300.0,309.7,1560.0,30.8,22,657.4,1.784,162.83,No Failure,0
M,300.09,309.21,1440.3,63.94,58,438.8,3.121,154.11,Power Failure,1
L,303.6,312.38,1398.6,44.55,150,1965.2,3.594,140.18,No Failure,0
L,296.41,306.27,1425.9,45.42,115,2103.8,2.647,149.52,No Failure,0
L,299.44,308.9,1292.9,49.9,215,1037.5,3.707,144.88,No Failure,0
L,302.58,312.11,1577.3,26.45,88,415.7,2.077,153.46,No Failure,0
L,299.52,310.26,1508.4,29.25,44,105.1,2.248,139.21,No Failure,0
M,299.66,309.91,1629.2,41.16,168,400.1,3.418,131.78,No Failure,0
M,298.33,307.84,1593.0,43.46,229,1153.0,4.807,148.08,No Failure,0
M,298.13,307.51,1339.1,60.83,139,472.6,3.589,139.7,No Failure,0
M,296.35,305.89,1618.0,30.51,177,153.1,3.679,161.34,No Failure,0
M,298.74,308.49,1322.4,55.4,145,1743.6,3.323,147.13,No Failure,0
L,298.02,308.61,1292.9,37.34,57,305.0,1.864,153.13,No Failure,0
M,300.24,309.19,1453.7,37.2,137,339.8,3.628,145.48,No Failure,0
M,298.42,309.88,1580.4,38.36,245,1489.1,3.614,151.92,No Failure,0
L,299.04,309.63,1563.9,36.95,249,765.8,4.105,157.28,No Failure,0
M,299.1,306.36,1425.8,44.87,208,794.7,3.807,152.87,No Failure,0
L,299.9,309.99,1598.2,36.05,128,809.0,2.617,130.37,No Failure,0
M,298.94,309.98,1570.5,25.9,14,271.8,1.559,144.66,No Failure,0
M,297.88,308.27,1418.7,37.32,108,997.6,2.575,174.51,No Failure,0
H,300.17,309.76,1530.0,44.57,206,1289.7,3.484,154.47,No Failure,0
H,302.13,312.07,1557.1,25.98,235,697.8,3.277,144.62,No Failure,0
M,300.26,310.44,1545.8,45.82,144,564.6,3.282,143.87,No Failure,0
M,298.78,309.55,1225.8,51.81,7,1573.2,1.664,166.83,No Failure,0
M,299.75,308.34,1330.3,54.8,222,1191.2,3.953,156.34,Heat Dissipation Failure,1
L,295.9,305.29,1526.7,43.38,209,318.4,3.503,134.83,Tool Wear Failure,1
H,299.72,311.36,1688.8,21.95,147,1094.8,2.463,173.99,No Failure,0
L,299.2,309.23,1428.3,46.48,102,583.5,2.698,153.39,No Failure,0
L,298.13,309.66,1448.5,49.67,198,795.6,3.393,153.11,No Failure,0
L,298.5,311.48,1568.3,33.03,75,2025.6,2.109,167.76,No Failure,0
H,299.18,308.69,1371.8,39.27,208,150.3,3.83,151.95,No Failure,0
L,301.98,310.79,1428.6,44.84,83,76.9,2.702,155.11,No Failure,0
L,302.18,311.92,1377.5,57.87,199,390.3,3.789,131.76,Overstrain Failure,1
L,298.14,309.24,1566.0,37.44,170,569.9,3.021,148.93,No Failure,0
L,298.96,310.2,1422.8,48.91,14,339.5,2.267,134.85,No Failure,0
L,299.01,311.29,1425.0,43.16,9,1012.4,1.867,143.77,No Failure,0
M,301.62,311.58,1363.9,41.99,166,908.4,3.447,153.0,No Failure,0
L,300.29,310.78,1461.3,53.3,112,672.2,3.355,123.1,No Failure,0
H,300.19,309.47,1624.4,31.69,224,838.5,3.98,153.89,No Failure,0
H,301.07,308.57,1570.4,42.3,194,808.3,3.844,160.07,No Failure,0
L,298.81,308.77,1400.8,40.27,234,1665.3,3.408,128.01,No Failure,0
L,302.73,311.57,1631.5,24.93,49,286.9,1.61,141.85,No Failure,0
M,300.0,310.64,1339.1,52.33,191,772.3,3.343,131.83,No Failure,0
L,298.29,306.41,1437.9,48.29,110,1469.6,3.263,156.23,No Failure,0
L,299.54,308.8,1758.9,40.34,77,543.1,2.264,143.97,No Failure,0
H,302.46,312.73,1602.2,37.39,93,659.9,2.242,163.49,No Failure,0
H,299.15,309.52,1432.0,40.0,214,1167.1,3.826,134.26,Tool Wear Failure,1
M,301.9,311.85,1420.7,47.07,133,95.3,3.253,152.36,No Failure,0
L,298.75,310.62,1463.2,40.53,6,1299.7,1.807,139.97,No Failure,0
M,298.47,310.04,1564.6,33.32,119,862.5,2.655,150.2,No Failure,0
M,301.32,310.63,1404.2,34.83,192,1081.6,3.769,146.06,No Failure,0
L,298.25,309.86,1530.1,39.88,187,1029.7,3.361,158.44,No Failure,0
M,301.65,313.41,1384.0,30.67,121,172.5,2.166,153.46,No Failure,0
L,300.7,310.58,1322.8,43.33,198,193.7,3.522,163.77,No Failure,0
L,298.25,308.3,1743.6,32.07,219,57.7,3.495,148.84,No Failure,0
M,299.86,309.81,1543.9,30.46,13,172.0,1.725,139.05,No Failure,0
L,298.9,308.26,1372.9,71.93,125,268.0,3.762,157.36,Power Failure,1
L,300.7,310.15,1271.9,59.4,219,684.5,3.945,149.11,Overstrain Failure,1
H,303.78,315.09,1299.3,41.44,105,1527.5,2.03,146.81,No Failure,0
H,299.26,309.7,1337.4,48.51,249,514.5,4.847,154.08,No Failure,0
M,301.07,310.51,1660.2,50.21,211,637.0,3.97,140.9,No Failure,0
H,300.05,309.12,1379.1,39.25,47,596.1,1.434,171.36,No Failure,0
H,300.05,309.29,1637.3,42.83,82,927.7,1.983,162.61,No Failure,0
L,299.67,309.51,1552.0,37.38,97,388.9,2.583,154.39,No Failure,0
L,298.29,309.2,1410.3,52.56,121,619.9,2.904,153.07,No Failure,0
L,300.67,309.81,1331.1,52.69,172,1218.9,3.943,150.5,No Failure,0
L,299.42,310.32,1293.9,55.62,210,1561.1,3.856,143.77,Overstrain Failure,1
M,298.19,308.39,1529.5,42.66,139,1481.7,3.019,156.07,No Failure,0
L,302.03,312.17,1445.3,61.68,3,1349.6,1.881,144.92,Power Failure,1
L,300.2,311.22,1523.8,39.24,213,1424.7,3.671,169.7,No Failure,0
L,299.54,310.39,1402.8,60.47,87,670.8,2.896,167.22,No Failure,0
L,302.68,311.28,1498.8,35.37,87,376.3,2.778,152.65,No Failure,0
H,296.33,305.24,1799.4,27.03,208,838.9,3.51,161.1,No Failure,0
L,302.55,312.32,1359.2,60.28,203,915.2,4.06,131.95,Overstrain Failure,1
L,298.24,308.6,1630.2,46.6,219,531.2,4.145,151.99,No Failure,0
L,300.42,311.79,1371.6,45.19,228,395.9,4.376,128.97,No Failure,0
L,298.82,308.89,1524.8,36.4,40,1452.3,1.528,151.24,No Failure,0
M,298.15,309.86,1664.0,31.55,44,651.8,1.671,140.34,No Failure,0
L,302.63,311.92,1572.8,32.5,111,506.0,2.621,160.86,No Failure,0
L,303.71,313.17,1535.5,41.39,245,546.6,4.077,150.96,No Failure,0
L,299.56,309.25,1424.0,38.5,85,758.1,2.235,145.52,No Failure,0
H,300.67,309.85,1618.8,20.59,85,382.3,1.475,145.72,Power Failure,1
M,300.11,311.27,1285.7,56.94,243,900.8,4.283,123.64,Overstrain Failure,1
M,303.46,310.69,1525.9,35.8,242,26.9,4.048,160.61,No Failure,0
M,295.77,305.27,1384.0,52.38,141,216.5,3.69,166.54,No Failure,0
M,300.75,311.9,1508.8,32.94,149,491.4,2.957,159.36,No Failure,0
L,298.55,308.23,1544.5,41.55,99,948.6,2.623,144.04,No Failure,0
L,295.29,306.36,1326.3,49.72,205,495.7,3.609,139.58,Tool Wear Failure,1
M,299.28,311.48,1239.8,48.34,218,1273.9,3.947,129.89,No Failure,0
L,303.7,313.78,1470.0,37.32,65,1543.8,2.047,145.36,No Failure,0
H,298.69,309.86,1653.0,45.09,177,599.1,3.641,122.29,No Failure,0
L,301.58,314.0,1491.8,46.76,130,309.0,3.172,124.35,No Failure,0
M,302.4,312.8,1435.7,38.52,178,616.2,3.774,161.6,No Failure,0
H,299.97,309.93,1629.2,28.86,106,1245.5,2.522,169.22,No Failure,0
M,300.24,311.14,1537.9,33.75,152,287.0,3.157,142.53,No Failure,0
H,296.57,307.75,1565.2,36.21,159,1019.2,2.703,155.65,No Failure,0
M,298.57,308.53,1577.2,40.26,104,585.0,2.747,144.08,No Failure,0
H,301.81,311.33,1390.0,55.92,53,1069.6,2.67,164.13,No Failure,0
L,300.12,311.84,1438.3,49.07,24,895.7,2.056,152.73,No Failure,0
L,300.73,310.46,1699.1,31.84,243,416.8,3.853,157.4,No Failure,0
M,300.27,311.46,1401.6,58.37,158,592.7,3.494,128.2,No Failure,0
L,304.38,314.65,1523.8,39.21,111,926.3,3.188,148.88,No Failure,0
L,299.14,310.97,1450.0,46.72,103,1208.8,2.276,143.68,No Failure,0
H,303.21,312.36,1524.2,30.61,102,589.9,2.809,166.45,No Failure,0
M,300.27,309.42,1424.1,35.48,113,1242.1,2.761,143.45,No Failure,0
L,303.39,314.24,1477.3,50.38,111,2175.4,2.771,147.01,No Failure,0
L,297.55,306.42,1685.2,31.21,230,1300.0,3.886,127.69,No Failure,0
L,300.37,310.49,1534.1,40.55,113,658.0,2.865,151.84,No Failure,0
L,299.21,310.76,1513.3,44.71,180,641.4,3.198,151.24,No Failure,0
H,300.28,308.49,1502.0,29.77,122,184.4,2.933,146.53,No Failure,0
L,302.44,312.85,1588.5,22.22,195,569.0,3.257,165.29,No Failure,0
L,300.76,311.97,1312.0,49.07,2,1029.0,1.568,150.24,No Failure,0
M,302.44,312.41,1248.5,68.63,190,1208.2,4.536,142.45,Overstrain Failure,1
L,298.66,307.73,1551.8,44.59,54,274.4,2.415,140.39,No Failure,0
L,298.35,308.09,1385.2,46.51,108,884.6,2.928,158.99,No Failure,0
M,300.03,309.19,1564.0,31.16,157,1393.9,3.306,130.55,No Failure,0
M,299.92,309.99,1445.6,54.7,139,264.4,3.294,142.04,No Failure,0
H,299.63,309.35,1638.9,36.23,13,803.1,1.915,148.48,No Failure,0
M,298.08,307.57,1258.7,51.64,135,428.9,3.425,145.07,No Failure,0
L,302.4,312.86,1408.5,46.07,32,221.0,1.879,149.12,No Failure,0
M,299.27,310.85,1383.0,46.32,60,599.9,2.28,163.58,No Failure,0
H,302.85,313.18,1373.6,45.93,115,163.3,2.732,146.75,No Failure,0
M,300.03,311.37,1420.6,45.61,158,417.6,3.712,138.04,No Failure,0
H,301.3,312.88,1302.1,42.83,130,689.0,2.514,168.47,No Failure,0
M,301.12,310.53,1389.4,49.69,93,1212.6,2.831,146.67,No Failure,0
H,298.35,308.63,1561.2,32.74,22,284.4,2.086,155.08,No Failure,0
L,300.73,310.31,1425.2,37.61,13,540.4,1.319,167.74,No Failure,0
M,303.86,312.37,1339.2,54.68,111,1227.6,3.024,141.36,Heat Dissipation Failure,1
L,300.5,310.86,1487.9,41.73,242,360.5,4.419,171.41,No Failure,0
M,301.8,310.75,1536.9,36.74,204,233.8,3.468,171.4,No Failure,0
M,301.39,311.87,1270.1,50.35,104,1521.5,2.892,141.23,No Failure,0
H,300.61,309.06,1496.0,48.37,52,629.1,2.222,143.13,No Failure,0
H,300.37,310.54,1669.2,27.0,87,1265.1,1.926,158.83,No Failure,0
L,301.09,309.52,1374.8,47.3,122,406.6,2.854,167.4,Heat Dissipation Failure,1
M,301.53,312.2,1640.0,41.37,156,1045.6,2.995,159.95,No Failure,0
M,297.3,306.9,1484.1,47.12,138,1248.5,2.661,149.5,No Failure,0
L,300.49,310.0,1527.2,40.11,113,441.5,3.166,156.42,No Failure,0
L,299.63,310.76,1524.3,44.64,158,1006.6,3.407,158.55,No Failure,0
L,299.22,308.9,1553.5,21.69,244,381.3,3.559,153.77,No Failure,0
M,302.59,312.7,1539.8,31.05,103,1500.3,2.309,144.59,No Failure,0
L,298.53,308.34,1496.4,47.4,12,382.7,1.741,159.81,No Failure,0
H,297.21,307.72,1218.5,66.21,212,1563.5,4.019,146.86,Overstrain Failure,1
L,301.59,312.63,1438.9,43.67,204,878.3,3.597,127.33,No Failure,0
H,297.16,307.99,1609.5,33.07,147,551.7,2.659,133.65,No Failure,0
L,296.14,305.68,1517.1,41.35,5,1693.8,1.888,165.57,No Failure,0
M,301.82,313.03,1573.4,31.07,222,424.2,3.083,137.2,No Failure,0
L,300.32,309.4,1405.6,52.5,45,2157.6,2.361,151.31,No Failure,0
M,300.95,310.2,1480.4,40.48,241,1011.4,3.755,165.38,No Failure,0
H,299.12,308.99,1492.5,50.53,43,251.5,2.514,152.17,No Failure,0
H,297.23,308.28,1700.4,38.47,0,490.7,1.518,177.67,No Failure,0
H,297.63,306.46,1435.0,51.42,85,572.7,2.785,148.88,No Failure,0
L,299.46,310.35,1745.3,23.76,123,2197.6,2.319,140.16,No Failure,0
L,297.46,307.4,1458.7,40.24,218,1442.2,4.175,132.72,No Failure,0
L,300.61,310.18,1395.5,45.4,10,1218.0,1.435,127.81,No Failure,0
L,299.08,310.17,1450.5,37.32,60,436.6,1.947,168.57,No Failure,0
M,300.37,309.57,1388.6,43.6,164,612.9,3.017,136.65,No Failure,0
M,300.31,312.6,1446.2,43.43,128,1030.7,2.928,130.69,No Failure,0
M,300.77,310.6,1495.8,50.49,213,1066.6,3.967,145.72,No Failure,0
H,301.0,311.15,1540.5,46.22,119,642.6,2.535,143.01,No Failure,0
M,299.31,310.86,1422.7,43.93,155,586.2,2.912,142.05,No Failure,0
H,300.37,310.54,1400.5,48.79,59,1037.7,2.033,165.56,No Failure,0
L,300.47,311.66,1608.1,26.47,98,1702.5,1.87,152.73,No Failure,0
L,295.14,303.19,1581.3,32.48,115,168.3,2.394,160.5,No Failure,0
M,301.29,310.85,1663.6,26.15,150,1047.9,3.344,177.55,No Failure,0
H,300.3,310.7,1420.2,45.49,210,478.1,3.852,140.5,No Failure,0
L,301.13,312.21,1448.9,44.14,82,338.0,2.304,152.8,No Failure,0
M,297.43,308.2,1511.1,53.85,174,204.0,3.536,133.32,No Failure,0
M,299.37,310.04,1446.8,43.52,51,365.7,1.713,168.49,No Failure,0
L,297.82,308.88,1498.8,33.68,97,716.8,1.994,147.55,No Failure,0
L,301.49,311.96,1481.6,41.34,20,593.6,1.57,113.03,No Failure,0
H,297.19,305.05,1657.1,21.25,67,645.5,1.514,134.03,No Failure,0
M,298.14,309.58,1394.0,35.92,198,627.7,3.755,167.89,No Failure,0
L,301.07,310.23,1647.8,16.53,128,970.4,2.978,128.11,Power Failure,1
H,298.74,309.05,1511.5,43.29,226,1029.7,4.185,148.82,No Failure,0
L,298.14,308.32,1702.7,37.21,56,276.0,1.866,155.95,No Failure,0
H,301.81,311.86,1463.0,38.68,107,521.3,2.646,156.78,No Failure,0
L,301.9,310.79,1643.4,30.68,38,2088.2,1.948,180.72,No Failure,0
M,301.44,309.51,1569.6,33.31,72,286.8,2.306,149.06,No Failure,0
L,301.7,310.7,1549.0,46.93,10,800.0,2.286,138.44,No Failure,0
L,299.54,310.36,1559.2,25.64,53,1111.2,1.483,139.48,No Failure,0
H,299.59,308.14,1558.8,45.06,2,1397.5,1.766,163.99,No Failure,0
L,298.7,307.82,1691.1,31.89,167,949.6,3.092,120.54,No Failure,0
L,300.34,310.75,1764.5,23.19,243,548.6,3.592,152.81,No Failure,0
L,298.94,307.92,1530.4,52.26,11,424.7,1.488,169.71,No Failure,0
M,299.13,308.59,1410.8,53.29,90,934.5,2.328,151.09,No Failure,0
H,301.2,311.28,1595.8,34.61,222,1180.1,4.099,165.81,No Failure,0
H,302.37,312.65,1506.2,34.51,9,1648.0,1.836,124.31,No Failure,0
L,300.8,309.75,1320.0,37.49,178,1481.5,2.987,165.31,No Failure,0
L,303.59,313.73,1587.8,31.9,145,1246.9,2.346,152.46,No Failure,0
L,298.59,308.99,1536.2,33.66,207,218.0,3.552,143.52,No Failure,0
M,296.32,305.05,1550.7,44.5,117,281.3,2.836,143.71,No Failure,0
H,301.43,311.64,1411.7,60.74,20,2808.8,1.73,170.91,No Failure,0
M,298.46,307.74,1432.8,36.45,143,641.8,3.576,140.01,No Failure,0
M,299.45,309.58,1628.7,50.23,242,867.4,4.597,140.63,Overstrain Failure,1
L,296.46,307.18,1506.7,43.53,135,82.3,2.697,169.38,No Failure,0
H,298.2,308.03,1518.2,23.28,12,1292.5,1.779,153.6,No Failure,0
L,297.0,307.91,1399.0,39.76,25,741.7,1.914,155.96,No Failure,0
L,299.13,309.92,1316.0,38.5,122,719.9,3.007,137.63,No Failure,0
L,299.21,310.12,1451.6,54.65,187,2657.9,3.51,137.45,No Failure,0
L,300.18,310.58,1332.2,55.05,52,953.5,2.607,171.12,No Failure,0
L,302.48,313.58,1394.2,43.77,94,596.5,3.282,154.01,No Failure,0
